User,User service ID,Group,Cluster name,Cluster number
DNAinfoNY,30434892,Other,Unclustered,0
Beamerwarren,123386371,Other,Unclustered,0
WizzyProbs,1040447646,Other,Unclustered,0
laurenepowell,21872269,Other,Unclustered,0
TinaBrownLM,121208305,US Political Reporting,TV Anchors|Reporters,1
ThomasARoberts,70771229,US Political Reporting,TV Anchors|Reporters,1
BraddJaffy,299802277,US Political Reporting,TV Anchors|Reporters,1
passantino,2267241,US Political Reporting,TV Anchors|Reporters,1
contessabrewer,16456599,US Political Reporting,TV Anchors|Reporters,1
BobWoodruff,27090222,US Political Reporting,TV Anchors|Reporters,1
TheLeadCNN,1176994477,US Political Reporting,TV Anchors|Reporters,1
AdamS,21122578,US Political Reporting,TV Anchors|Reporters,1
JillBidenVeep,362194251,US Political Reporting,TV Anchors|Reporters,1
CarolCNN,126629610,US Political Reporting,TV Anchors|Reporters,1
tarapalmeri,21334179,US Political Reporting,TV Anchors|Reporters,1
iava,12296312,US Political Reporting,TV Anchors|Reporters,1
craigmelvin,33972882,US Political Reporting,TV Anchors|Reporters,1
jolingkent,17746914,US Political Reporting,TV Anchors|Reporters,1
EricaRHill,22190185,US Political Reporting,TV Anchors|Reporters,1
rolandscahill,19865053,US Political Reporting,TV Anchors|Reporters,1
RichardLui,11762572,US Political Reporting,TV Anchors|Reporters,1
CynthiaMcFadden,20166674,US Political Reporting,TV Anchors|Reporters,1
CBSRadioNews,24362769,US Political Reporting,TV Anchors|Reporters,1
mattgutmanABC,64744352,US Political Reporting,TV Anchors|Reporters,1
ChristineRomans,16329199,US Political Reporting,TV Anchors|Reporters,1
JujuChangABC,18950931,US Political Reporting,TV Anchors|Reporters,1
DanLothianTV,103949895,US Political Reporting,TV Anchors|Reporters,1
SteveCapus,2292182045,US Political Reporting,TV Anchors|Reporters,1
CharlieKayeCBS,40711814,US Political Reporting,TV Anchors|Reporters,1
BenjaminBell,24594836,US Political Reporting,TV Anchors|Reporters,1
SteveKopack,15065434,US Political Reporting,TV Anchors|Reporters,1
TylerKepner,46593413,US Political Reporting,TV Anchors|Reporters,1
DrNancyMD,48802719,US Political Reporting,TV Anchors|Reporters,1
dana_hughes,22373419,US Political Reporting,TV Anchors|Reporters,1
NewsBreaker,774393817,US Political Reporting,TV Anchors|Reporters,1
sgallman,16252233,US Political Reporting,TV Anchors|Reporters,1
traciglee,23717572,US Political Reporting,TV Anchors|Reporters,1
susancandiotti,16367980,US Political Reporting,TV Anchors|Reporters,1
EricWeisbrod,3335531,US Political Reporting,TV Anchors|Reporters,1
kellywallacetv,21411381,US Political Reporting,TV Anchors|Reporters,1
CNNJustin,22642829,US Political Reporting,TV Anchors|Reporters,1
adallos,24870244,US Political Reporting,TV Anchors|Reporters,1
yunjid,21397043,US Political Reporting,TV Anchors|Reporters,1
stephgosk,21225519,US Political Reporting,TV Anchors|Reporters,1
mdornic,49960226,US Political Reporting,TV Anchors|Reporters,1
CNNSotu,17112878,US Political Reporting,TV Anchors|Reporters,1
willripleyCNN,22138134,US Political Reporting,TV Anchors|Reporters,1
szirinsky,21774546,US Political Reporting,TV Anchors|Reporters,1
PeterKingCBS,24020586,US Political Reporting,TV Anchors|Reporters,1
jamesgoldston,19743385,US Political Reporting,TV Anchors|Reporters,1
LisaMirandoCNN,15096096,US Political Reporting,TV Anchors|Reporters,1
RichSandomir,16055024,US Political Reporting,TV Anchors|Reporters,1
Jennasakwa,131630960,US Political Reporting,TV Anchors|Reporters,1
AnthonyMasonCBS,759901363,US Political Reporting,TV Anchors|Reporters,1
Farrashley,77517639,US Political Reporting,TV Anchors|Reporters,1
Kevinliptakcnn,41704988,US Political Reporting,TV Anchors|Reporters,1
HomefrontHugs,22583725,US Political Reporting,TV Anchors|Reporters,1
lauraingle,16072676,US Political Reporting,TV Anchors|Reporters,1
ChristinaCNN,113199229,US Political Reporting,TV Anchors|Reporters,1
RonAllenNBC,111060879,US Political Reporting,TV Anchors|Reporters,1
AnaCabrera,31565351,US Political Reporting,TV Anchors|Reporters,1
MicahGrimes,67958182,US Political Reporting,TV Anchors|Reporters,1
BonnieFuller,16442457,US Political Reporting,TV Anchors|Reporters,1
CBSMMiller,40303521,US Political Reporting,TV Anchors|Reporters,1
pdicarlocnn,22675685,US Political Reporting,TV Anchors|Reporters,1
ChrisWragge,90746809,US Political Reporting,TV Anchors|Reporters,1
paulafaris,96848782,US Political Reporting,TV Anchors|Reporters,1
reiterABC,22704269,US Political Reporting,TV Anchors|Reporters,1
jacelarson,18373162,US Political Reporting,TV Anchors|Reporters,1
DavidBegnaud,42971403,US Political Reporting,TV Anchors|Reporters,1
JBaiata,204924835,US Political Reporting,TV Anchors|Reporters,1
LizCho7,404542595,US Political Reporting,TV Anchors|Reporters,1
benstracy,34370797,US Political Reporting,TV Anchors|Reporters,1
KNX1070,18149465,US Political Reporting,TV Anchors|Reporters,1
Nawazistan,340466229,US Political Reporting,TV Anchors|Reporters,1
jasonbellini,15508395,US Political Reporting,TV Anchors|Reporters,1
SantinaLeuci,23327556,US Political Reporting,TV Anchors|Reporters,1
DrJAshton,33550291,US Political Reporting,TV Anchors|Reporters,1
MikeDelMoro,31059230,US Political Reporting,TV Anchors|Reporters,1
KepnesCNN,16020751,US Political Reporting,TV Anchors|Reporters,1
nick_ramsey,22744842,US Political Reporting,TV Anchors|Reporters,1
courtneyfriel,15501934,US Political Reporting,TV Anchors|Reporters,1
BillSchulz,14884472,US Political Reporting,TV Anchors|Reporters,1
GiannaToboni,192682116,US Political Reporting,TV Anchors|Reporters,1
AkikoFujita,27427798,US Political Reporting,TV Anchors|Reporters,1
chefgeoffs,46192766,US Political Reporting,TV Anchors|Reporters,1
ChrisAriens,14247059,US Political Reporting,TV Anchors|Reporters,1
Christi_Paul,300893304,US Political Reporting,TV Anchors|Reporters,1
cwelchCNN,22539758,US Political Reporting,TV Anchors|Reporters,1
DebFeyerickCNN,108420787,US Political Reporting,TV Anchors|Reporters,1
emilystanitz,133100000,US Political Reporting,TV Anchors|Reporters,1
SerenaMarsh,25112718,US Political Reporting,TV Anchors|Reporters,1
nationallampoon,17373600,US Political Reporting,TV Anchors|Reporters,1
KayleeHartung,65448844,US Political Reporting,TV Anchors|Reporters,1
AndreaWBZ,15743181,US Political Reporting,TV Anchors|Reporters,1
meenasaurus,157739327,US Political Reporting,TV Anchors|Reporters,1
gelles,14075981,US Political Reporting,TV Anchors|Reporters,1
ttgaughan,36129751,US Political Reporting,TV Anchors|Reporters,1
MattPol,278606956,US Political Reporting,TV Anchors|Reporters,1
hgitty,26028721,US Political Reporting,TV Anchors|Reporters,1
KenDavidoff,37689091,US Political Reporting,TV Anchors|Reporters,1
rshields37,47493322,US Political Reporting,TV Anchors|Reporters,1
hamrickisms,12988312,US Political Reporting,TV Anchors|Reporters,1
KateRogersNews,596792665,US Political Reporting,TV Anchors|Reporters,1
BlevinCNN,87289614,US Political Reporting,TV Anchors|Reporters,1
powelldennis,25350311,US Political Reporting,TV Anchors|Reporters,1
pcatapano,48890349,US Political Reporting,TV Anchors|Reporters,1
javimorgado,17272735,US Political Reporting,TV Anchors|Reporters,1
JayMcMichaelCNN,16705761,US Political Reporting,TV Anchors|Reporters,1
